league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
GER-Bundesliga,2526,Borussia Dortmund,Julian Brandt,3,2025,129,261,F M S,18,1112,6,4.301542589440942,6,4.301542589440942,2,2.723973287269473,26,20,0,0,9.069966530427337,3.587560437619686
GER-Bundesliga,2526,Borussia Dortmund,Julian Ryerson,3,2025,129,7997,D S,21,1432,0,0.5392383337020874,0,0.5392383337020874,11,6.469990607351065,8,35,5,0,8.342499865218997,6.162044486030936
GER-Bundesliga,2526,Borussia Dortmund,Karim Adeyemi,3,2025,129,10772,F M S,21,952,5,3.5312243849039078,5,3.5312243849039078,3,2.741598019376397,23,12,3,0,9.477131702005863,3.9463477544486523
GER-Bundesliga,2526,Borussia Dortmund,Luca Reggiani,3,2025,129,14420,D S,3,106,0,0.015178898349404335,0,0.015178898349404335,0,0.0,1,0,1,0,0.21773949265480042,0.20256058871746063
GER-Bundesliga,2526,Borussia Dortmund,Marcel Sabitzer,3,2025,129,5248,M S,16,1014,1,0.9916362687945366,1,0.9916362687945366,1,1.3952793776988983,16,8,2,0,3.512455850839615,1.4023063592612743
GER-Bundesliga,2526,Borussia Dortmund,Maximilian Beier,3,2025,129,8137,D F M S,21,1216,7,5.520468354225159,7,5.520468354225159,3,2.3264349373057485,30,16,2,0,10.125571528449655,2.5851753372699022
GER-Bundesliga,2526,Borussia Dortmund,Nico Schlotterbeck,3,2025,129,7485,D,17,1530,3,2.5597431985661387,3,2.5597431985661387,1,0.8246109932661057,24,7,5,0,6.433489421382546,5.584606746211648
GER-Bundesliga,2526,Borussia Dortmund,Niklas Süle,3,2025,129,75,D S,8,443,0,0.03355417028069496,0,0.03355417028069496,1,0.2960160970687866,2,2,3,0,2.3257176280021667,2.232322722673416
GER-Bundesliga,2526,Borussia Dortmund,Pascal Groß,3,2025,129,239,M S,11,619,0,0.8347828388214111,0,0.8347828388214111,1,1.3404343351721764,8,11,0,0,4.495197154581547,3.2702609561383724
GER-Bundesliga,2526,Borussia Dortmund,Ramy Bensebaini,3,2025,129,3349,D S,14,1035,2,0.9881792040541768,2,0.9881792040541768,0,0.23229102790355682,9,6,4,0,5.043954245746136,4.943305645138025
GER-Bundesliga,2526,Borussia Dortmund,Salih Özcan,3,2025,129,5294,S,7,19,0,0.1352226883172989,0,0.1352226883172989,0,0.0,1,0,0,0,0.6293506138026714,0.49412792548537254
GER-Bundesliga,2526,Borussia Dortmund,Serhou Guirassy,3,2025,129,3738,F S,22,1734,11,12.440965201705694,10,10.167635168880224,1,1.6141925025731325,57,15,2,0,12.030402831733227,2.736947411671281
GER-Bundesliga,2526,Borussia Dortmund,Waldemar Anton,3,2025,129,106,D,21,1890,2,1.2234948333352804,2,1.2234948333352804,0,0.20181455928832293,12,6,3,0,6.68242028541863,6.449253344908357
GER-Bundesliga,2526,Borussia Dortmund,Yan Couto,3,2025,129,10946,D M S,14,866,1,0.498417966067791,1,0.498417966067791,2,2.7595266737043858,7,16,4,0,5.620895240455866,3.681862261146307
GER-Bundesliga,2526,Borussia M.Gladbach,Charles Herrmann,3,2025,130,13621,S,1,1,0,0.0,0,0.0,1,0.37863999605178833,0,1,0,0,0.0,0.0
GER-Bundesliga,2526,Borussia M.Gladbach,Fabio Chiarodia,3,2025,130,11073,D S,8,373,0,0.030683506280183792,0,0.030683506280183792,0,0.0,2,0,0,0,1.4691033121198416,1.438419807702303
