league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
GER-Bundesliga,2526,2025-11-09 Eintracht Frankfurt-Mainz 05,3,2025,30307,2025-11-09 18:30:00,132,125,Eintracht Frankfurt,Mainz 05,MAI,EIN,1,0,1.77854,0.121469,True,True,https://understat.com/match/30307
GER-Bundesliga,2526,2025-11-09 Freiburg-St. Pauli,3,2025,30308,2025-11-09 14:30:00,135,288,Freiburg,St. Pauli,SPA,FRE,2,1,1.66558,0.640748,True,True,https://understat.com/match/30308
GER-Bundesliga,2526,2025-11-09 VfB Stuttgart-Augsburg,3,2025,30311,2025-11-09 16:30:00,133,121,VfB Stuttgart,Augsburg,AUG,STU,3,2,2.44526,1.90345,True,True,https://understat.com/match/30311
GER-Bundesliga,2526,2025-11-21 Mainz 05-Hoffenheim,3,2025,30319,2025-11-21 19:30:00,125,120,Mainz 05,Hoffenheim,HOF,MAI,1,1,2.88712,1.54404,True,True,https://understat.com/match/30319
GER-Bundesliga,2526,2025-11-22 Augsburg-Hamburger SV,3,2025,30314,2025-11-22 14:30:00,121,118,Augsburg,Hamburger SV,HAM,AUG,1,0,1.61897,1.555,True,True,https://understat.com/match/30314
GER-Bundesliga,2526,2025-11-22 Bayern Munich-Freiburg,3,2025,30315,2025-11-22 14:30:00,117,135,Bayern Munich,Freiburg,FRE,BAY,6,2,3.13858,0.516966,True,True,https://understat.com/match/30315
GER-Bundesliga,2526,2025-11-22 Borussia Dortmund-VfB Stuttgart,3,2025,30316,2025-11-22 14:30:00,129,133,Borussia Dortmund,VfB Stuttgart,STU,DOR,3,3,3.15124,1.80942,True,True,https://understat.com/match/30316
GER-Bundesliga,2526,2025-11-22 FC Cologne-Eintracht Frankfurt,3,2025,30317,2025-11-22 17:30:00,134,132,FC Cologne,Eintracht Frankfurt,EIN,COL,3,4,1.38923,2.44506,True,True,https://understat.com/match/30317
GER-Bundesliga,2526,2025-11-22 FC Heidenheim-Borussia M.Gladbach,3,2025,30318,2025-11-22 14:30:00,280,130,FC Heidenheim,Borussia M.Gladbach,BMG,HEI,0,3,0.363207,2.79666,True,True,https://understat.com/match/30318
GER-Bundesliga,2526,2025-11-22 Wolfsburg-Bayer Leverkusen,3,2025,30322,2025-11-22 14:30:00,131,119,Wolfsburg,Bayer Leverkusen,LEV,WOL,1,3,2.07979,1.58644,True,True,https://understat.com/match/30322
GER-Bundesliga,2526,2025-11-23 RasenBallsport Leipzig-Werder Bremen,3,2025,30320,2025-11-23 14:30:00,136,123,RasenBallsport Leipzig,Werder Bremen,WER,RBL,2,0,2.42834,0.774872,True,True,https://understat.com/match/30320
GER-Bundesliga,2526,2025-11-23 St. Pauli-Union Berlin,3,2025,30321,2025-11-23 16:30:00,288,240,St. Pauli,Union Berlin,UNI,SPA,0,1,0.568717,0.398431,True,True,https://understat.com/match/30321
GER-Bundesliga,2526,2025-11-28 Borussia M.Gladbach-RasenBallsport Leipzig,3,2025,30325,2025-11-28 19:30:00,130,136,Borussia M.Gladbach,RasenBallsport Leipzig,RBL,BMG,0,0,0.388883,1.09232,True,True,https://understat.com/match/30325
GER-Bundesliga,2526,2025-11-29 Bayer Leverkusen-Borussia Dortmund,3,2025,30323,2025-11-29 17:30:00,119,129,Bayer Leverkusen,Borussia Dortmund,DOR,LEV,1,2,1.08287,1.1562,True,True,https://understat.com/match/30323
GER-Bundesliga,2526,2025-11-29 Bayern Munich-St. Pauli,3,2025,30324,2025-11-29 14:30:00,117,288,Bayern Munich,St. Pauli,SPA,BAY,3,1,2.53942,0.74073,True,True,https://understat.com/match/30324
GER-Bundesliga,2526,2025-11-29 Hoffenheim-Augsburg,3,2025,30329,2025-11-29 14:30:00,120,121,Hoffenheim,Augsburg,AUG,HOF,3,0,1.79612,0.655496,True,True,https://understat.com/match/30329
GER-Bundesliga,2526,2025-11-29 Union Berlin-FC Heidenheim,3,2025,30330,2025-11-29 14:30:00,240,280,Union Berlin,FC Heidenheim,HEI,UNI,1,2,0.942923,0.522102,True,True,https://understat.com/match/30330
GER-Bundesliga,2526,2025-11-29 Werder Bremen-FC Cologne,3,2025,30331,2025-11-29 14:30:00,123,134,Werder Bremen,FC Cologne,COL,WER,1,1,1.53668,1.1848,True,True,https://understat.com/match/30331
GER-Bundesliga,2526,2025-11-30 Eintracht Frankfurt-Wolfsburg,3,2025,30326,2025-11-30 16:30:00,132,131,Eintracht Frankfurt,Wolfsburg,WOL,EIN,1,1,1.66051,1.60645,True,True,https://understat.com/match/30326
GER-Bundesliga,2526,2025-11-30 Freiburg-Mainz 05,3,2025,30327,2025-11-30 18:30:00,135,125,Freiburg,Mainz 05,MAI,FRE,4,0,4.15677,0.0500621,True,True,https://understat.com/match/30327
GER-Bundesliga,2526,2025-11-30 Hamburger SV-VfB Stuttgart,3,2025,30328,2025-11-30 14:30:00,118,133,Hamburger SV,VfB Stuttgart,STU,HAM,2,1,1.21357,1.10868,True,True,https://understat.com/match/30328
GER-Bundesliga,2526,2025-12-05 Mainz 05-Borussia M.Gladbach,3,2025,30339,2025-12-05 19:30:00,125,130,Mainz 05,Borussia M.Gladbach,BMG,MAI,0,1,1.09331,1.90297,True,True,https://understat.com/match/30339
GER-Bundesliga,2526,2025-12-06 Augsburg-Bayer Leverkusen,3,2025,30334,2025-12-06 14:30:00,121,119,Augsburg,Bayer Leverkusen,LEV,AUG,2,0,2.14102,1.41889,True,True,https://understat.com/match/30334
GER-Bundesliga,2526,2025-12-06 FC Cologne-St. Pauli,3,2025,30336,2025-12-06 14:30:00,134,288,FC Cologne,St. Pauli,SPA,COL,1,1,1.90409,0.143945,True,True,https://understat.com/match/30336
GER-Bundesliga,2526,2025-12-06 FC Heidenheim-Freiburg,3,2025,30338,2025-12-06 14:30:00,280,135,FC Heidenheim,Freiburg,FRE,HEI,2,1,2.66592,0.800321,True,True,https://understat.com/match/30338
GER-Bundesliga,2526,2025-12-06 RasenBallsport Leipzig-Eintracht Frankfurt,3,2025,30340,2025-12-06 17:30:00,136,132,RasenBallsport Leipzig,Eintracht Frankfurt,EIN,RBL,6,0,3.64182,0.473289,True,True,https://understat.com/match/30340
GER-Bundesliga,2526,2025-12-06 VfB Stuttgart-Bayern Munich,3,2025,30332,2025-12-06 14:30:00,133,117,VfB Stuttgart,Bayern Munich,BAY,STU,0,5,0.729313,4.07867,True,True,https://understat.com/match/30332
GER-Bundesliga,2526,2025-12-06 Wolfsburg-Union Berlin,3,2025,30333,2025-12-06 14:30:00,131,240,Wolfsburg,Union Berlin,UNI,WOL,3,1,0.929936,2.01932,True,True,https://understat.com/match/30333
